gate,x,y
WH,-0.32,-0.2
A1,-1.73,0
A2,-2.19,0.07
A3,-2.88,0.07
A5,-3.54,0.07
A7,-3.97,0.51
A9,-4.49,1.01
A10,-4.98,0.87
A11,-4.89,1.45
A12,-5.3,1.25
A14,-5.55,1.56
A15,-5.31,1.87
A16,-5.89,1.84
A17,-5.57,2.17
A18,-5.87,1.99
A19,-5.71,2.1
A4A,-5.75,0.14
A4B,-6.45,0.21
B1,0.16,0.93
B2,0.16,1.38
B3,0.16,1.92
B5,0.16,2.38
B7,-0.08,2.71
B8,-0.51,2.68
B9,-0.4,3.01
B10,-0.76,2.94
B11,-0.78,3.4
B12,-1.12,3.25
B14,-1.39,3.54
B15,-1.26,3.83
B16,-1.7,3.83
B17,-1.64,4.22
B18,-1.99,4.11
B19,-1.99,4.59
B20,-2.3,4.41
B21,-2.33,4.92
B22,-2.59,4.71
B23,-2.55,5.11
B24,-2.78,4.87
B25,-2.66,5.13
B26,-2.79,5
C1,2.31,0.1
C2,2.41,0.1
C3,2.41,0.05
